Key,Id,Kyrgyz(ky),English(en),Russian(ru),Arabic(ar),Bulgarian(bg),Catalan(ca),Croatian(hr),Czech(cs),Danish(da),Dutch(nl),Estonian(et),Finnish(fi),French(fr),German(de),Greek(el),Hebrew(he),Hindi(hi),Hungarian(hu),Indonesian(id),Italian(it),Japanese(ja),Korean(ko),Latvian(lv),Lithuanian(lt),Malay(ms),Norwegian(no),Polish(pl),Portuguese(pt),Romanian(ro),Serbian(sr),Chinese (Simplified)(zh-Hans),Slovak(sk),Slovenian(sl),Spanish(es),Swedish(sv),Filipino (Philippines)(fil-PH),Thai(th),Turkish(tr),Ukrainian(uk),Vietnamese(vi)
button_full_access,,Баарын ач,FULL ACCESS,Открыть все,افتح الكل,ПЪЛЕН ДОСТЪП,ACCÉS COMPLET,PUNI PRISTUP,PLNÝ PŘÍSTUP,FULDT ADGANG,VOLLEDIGE TOEGANG,Ava kõik,TÄYSI PÄÄSY,ACCÈS COMPLET,VOLLER ZUGANG,ΠΛΗΡΗΣ ΠΡΟΣΒΑΣΗ,גישה מלאה,पूर्ण पहुँच,TELJES HOZZÁFÉRÉS,AKSES PENUH,ACCESSO COMPLETO,フルアクセス,전체 액세스,PILNA PIEKĻUVE,PILNA PRIEIGA,AKSES PENUH,FULL TILGANG,PEŁNY DOSTĘP,ACESSO COMPLETO,ACCES COMPLET,ПУН ПРИСТУП,完整访问,PLNÝ PRÍSTUP,POPOLN DOSTOP,ACCESO COMPLETO,FULL ÅTKOMST,BUONG ACCESS,การเข้าถึงทั้งหมด,TAM ERİŞİM,ПОВНИЙ ДОСТУП,QUYỀN TRUY CẬP ĐẦY ĐỦ
full_access,22,Толук мүмкүнчүлүк,FULL ACCESS,ПОЛНЫЙ ДОСТУП,الوصول الكامل,ПЪЛЕН ДОСТЪП,ACCÉS COMPLET,PUNI PRISTUP,PLNÝ PŘÍSTUP,FULDT ADGANG,VOLLEDIGE TOEGANG,TÄIELIK JUURDEPÄÄS,TÄYSI PÄÄSY,ACCÈS COMPLET,VOLLER ZUGANG,ΠΛΗΡΗΣ ΠΡΟΣΒΑΣΗ,גישה מלאה,पूर्ण पहुँच,TELJES HOZZÁFÉRÉS,AKSES PENUH,ACCESSO COMPLETO,フルアクセス,전체 액세스,PILNA PIEKĻUVE,PILNA PRIEIGA,AKSES PENUH,FULL TILGANG,PEŁNY DOSTĘP,ACESSO COMPLETO,ACCES COMPLET,ПУН ПРИСТУП,完整访问,PLNÝ PRÍSTUP,POPOLN DOSTOP,ACCESO COMPLETO,FULL ÅTKOMST,BUONG ACCESS,การเข้าถึงทั้งหมด,TAM ERİŞİM,ПОВНИЙ ДОСТУП,QUYỀN TRUY CẬP ĐẦY ĐỦ
subscription_title,61,ТОЛУК ВЕРСИЯНЫ АЧУУ,UNLOCK FULL VERSION,ОТКРЫТЬ ПОЛНУЮ ВЕРСИЮ,افتح النسخة الكاملة,ОТКЛЮЧЕТЕ ПЪЛНАТА ВЕРСИЯ,DESBLOQUEJA VERSIÓ COMPLETA,OTKLJUČAJ PUNU VERZIJU,ODOMKNOUT PLNOU VERZI,LÅS OP FOR FULD VERSION,ONTGRENDEL VOLLEDIGE VERSIE,AVAGE TÄISVERSIOON,AVAA KOKO VERSIO,DÉVERROUILLER LA VERSION COMPLÈTE,VOLLVERSION FREISCHALTEN,ΞΕΚΛΕΙΔΩΣΤΕ ΠΛΗΡΗ ΕΚΔΟΣΗ,פתח גרסה מלאה,पूर्ण संस्करण अनलॉक करें,TELJES VERZIÓ FELTÁRÁSA,BUKA VERSI PENUH,SBLOCCA VERSIONE COMPLETA,フルバージョンをアンロック,전체 버전 잠금 해제,ATSLĒGT PILNO VERSIJU,ATRASKITE PILNĄ VERSIJĄ,BUKA VERSI PENUH,LÅS OPP FULL VERSJON,ODBLOKUJ PEŁNĄ WERSJĘ,DESBLOQUEAR VERSÃO COMPLETA,DEBLOCAȚI VERSIUNEA COMPLETĂ,ОТКЉУЧАЈТЕ ПУНУ ВЕРЗИЈУ,解锁完整版本,ODOMKNÚŤ PLNÚ VERZIU,ODKLENITE POLNO RAZLIČICO,DESBLOQUEAR VERSIÓN COMPLETA,LÅS UPP FULL VERSION,I-UNLOCK ANG FULL VERSION,ปลดล็อคเวอร์ชันเต็ม,TAM SÜRÜMÜ AÇ,РОЗБЛОКУВАТИ ПОВНУ ВЕРСІЮ,MỞ KHÓA PHIÊN BẢN ĐẦY ĐỦ
subscription_plan_life_time,62,Өмүр бою мүмкүндүк алуу,Lifetime access,Пожизненный доступ,وصول مدى الحياة,Доживотен достъп,Accés de per vida,Doživotni pristup,Doživotní přístup,Livstidsadgang,Levenslange toegang,Eluaegne juurdepääs,Elinikäinen käyttöoikeus,Accès à vie,Lebenslanger Zugang,Δια βίου πρόσβαση,גישה לכל החיים,आजीवन पहुंच,Élethosszig tartó hozzáférés,Akses seumur hidup,Accesso a vita,生涯アクセス,평생 액세스,Mūža piekļuve,Viso gyvenimo prieiga,Akses Seumur Hidup,Livstids tilgang,Dostęp na całe życie,Acesso vitalício,Acces pe viață,Доживотни приступ,终身访问,Doživotný prístup,Doživljenjski dostop,Acceso de por vida,Livstidsåtkomst,Panghabangbuhay na Access,เข้าถึงได้ตลอดชีวิต,Ömür boyu erİşİm,Довічний доступ,Truy cập trọn đời
subscription_main_button,64,Ачуу,UNLOCK,ОТКРЫТЬ,افتح,ОТКЛЮЧЕТЕ,DESBLOQUEJA,OTKLJUČAJ,ODOMKNOUT,LÅS OP,ONTGRENDEL,AVAGE,AVAA,DÉVERROUILLER,FREISCHALTEN,ΞΕΚΛΕΙΔΩΣΤΕ,פתח,अनलॉक करें,FELTÁRÁS,BUKA,SBLOCCA,アンロック,잠금 해제,ATSLĒGT,ATRASKITE,BUKA,LÅS OPP,ODBLOKUJ,DESBLOQUEAR,DEBLOCAȚI,ОТКЉУЧАЈТЕ,解锁,ODOMKNÚŤ,ODKLENITE,DESBLOQUEAR,LÅS UPP,I-UNLOCK,ปลดล็อค,AÇ,РОЗБЛОКУВАТИ,MỞ KHÓA
subscription_restore_link,65,Жазылууну калыбына келтируу,RESTORE SUBSCRIPTION,ВОССТАНОВИТЬ ПОДПИСКУ,استعادة الاشتراك,ВЪЗСТАНОВЯВАНЕ НА АБОНАМЕНТА,RESTAURA LA SUBSCRIPCIÓ,OBNOVI PRETPLATU,OBNOVIT PŘEDPLATNÉ,GENDANN ABONNEMENT,ABONNEMENT HERSTELLEN,TAASTA TELLIMUS,PALAUTA TILAUS,RESTAURER L'ABONNEMENT,Abonnement wiederherstellen,ΕΠΑΝΑΦΟΡΑ ΣΥΝΔΡΟΜΗΣ,שחזור המנוי,सदस्यता बहाल करें,ELŐFIZETÉS VISSZAÁLLÍTÁSA,KEMBALIKAN LANGGANAN,RIPRISTINA L'ABBONAMENTO,サブスクリプションを復元する,구독 복원,ATJAUNOT ABONEMENTU,ATKURTI PRENUMERATĄ,PULIHKAN LANGGANAN,GJENOPPRETT ABONNEMENT,PRZYWRÓĆ SUBSKRYPCJĘ,RESTAURAR ASSINATURA,RESTABILEȘTE ABONAMENTUL,ВРАТИ ПРЕТПЛАТУ,恢复订阅,OBNOVIŤ PREDPLATNÉ,OBNOVITE NAROČNINO,RESTAURAR SUSCRIPCIÓN,ÅTERSTÄLL PRENUMERATION,IBALIK ANG SUBSCRIPTION,กู้คืนการสมัครสมาชิก,ABONELİĞİ GERİ YÜKLE,ВІДНОВИТИ ПІДПИСКУ,KHÔI PHỤC ĐĂNG KÝ
subscription_privacy_policy,66,Купуялуулук саясаты,Privacy policy,Политика конфиденциальности,سياسة الخصوصية,Политика за поверителност,Política de privacitat,Pravila o privatnosti,Zásady ochrany osobních údajů,Fortrolighedspolitik,Privacybeleid,Privaatsuspoliitika,Tietosuojakäytäntö,Politique de confidentialité,Datenschutzbestimmungen,Πολιτική Απορρήτου,מדיניות פרטיות,गोपनीयता नीति,Adatvédelmi szabályzat,Kebijakan Privasi,Informativa sulla privacy,プライバシーポリシー,개인정보 처리방침,Privātuma politika,Privatumo politika,Dasar Privasi,Personvernregler,Polityka prywatności,Política de Privacidade,Politica de Confidențialitate,Политика приватности,隐私政策,Zásady ochrany osobných údajov,Politika zasebnosti,Política de privacidad,Integritetspolicy,Patakaran sa Privacy,นโยบายความเป็นส่วนตัว,Gİzlİlİk Polİtİkası,Політика конфіденційності,Chính sách bảo mật
subscription_terms_of_use,67,Колдонуу шарттары,Terms of use,Условия использования,شروط الاستخدام,Условия за ползване,Termes d'ús,Uvjeti korištenja,Podmínky použití,Brugsvilkår,Gebruiksvoorwaarden,Kasutustingimused,Käyttöehdot,Conditions d'utilisation,Nutzungsbedingungen,Όροι Χρήσης,תנאי שימוש,उपयोग की शर्तें,Felhasználási feltételek,Syarat Penggunaan,Termini di utilizzo,利用規約,이용 약관,Lietošanas noteikumi,Naudojimo sąlygos,Syarat Penggunaan,Vilkår for bruk,Warunki korzystania,Termos de Uso,Termeni de utilizare,Услови коришћења,使用条款,Podmienky používania,Pogoji uporabe,Términos de uso,Användarvillkor,Mga Tuntunin ng Paggamit,ข้อกำหนดการใช้งาน,Kullanım Koşulları,Умови використання,Điều khoản sử dụng
subscription_description_4,71,Үзгүлтүксүз жаңыртуулар,Regular Updates,Регулярные обновления,تحديثات منتظمة,Редовни актуализации,Actualitzacions regulars,Redovna ažuriranja,Pravidelné aktualizace,Regelmæssige opdateringer,Regelmatige updates,Regulaarsed uuendused,Säännölliset päivitykset,Mises à jour régulières,Regelmäßige Updates,Τακτικές ενημερώσεις,עדכונים שוטפים,नियमित अपडेट्स,Rendszeres frissítések,Pembaruan rutin,Aggiornamenti regolari,定期的な更新,정기 업데이트,Regulāri atjauninājumi,Reguliarūs atnaujinimai,Kemas Kini Berkala,Regelmessige oppdateringer,Regularne aktualizacje,Atualizações regulares,Actualizări regulate,Редовна ажурирања,定期更新,Pravidelné aktualizácie,Redne posodobitve,Actualizaciones regulares,Regelbundna uppdateringar,Regular na mga Update,อัปเดตเป็นประจำ,Düzenlİ güncellemeler,Регулярні оновлення,Cập nhật thường xuyên
subscription_description_6,73,Жарнамасыз жана балдар үчүн коопсуз мазмун,Ad-free and kids-safe content,Контент без рекламы и безопасный для детей,محتوى خالٍ من الإعلانات وآمن للأطفال,Без реклами и безопасно съдържание за деца,Contingut sense anuncis i segur per a nens,Bez oglasa i siguran sadržaj za djecu,Obsah bez reklam a bezpečný pro děti,Reklamefrit og børnesikkert indhold,Advertentievrije en kindvriendelijke inhoud,Reklaamivaba ja lastele turvaline sisu,Mainokseton ja lapsille turvallinen sisältö,Contenu sans publicité et sécurisé pour les enfants,Werbefreie und kindersichere Inhalte,Περιεχόμενο χωρίς διαφημίσεις και ασφαλές για παιδιά,תוכן ללא פרסומות ובטוח לילדים,विज्ञापन मुक्त और बच्चों के लिए सुरक्षित सामग्री,Hirdetésmentes és gyerekbiztos tartalom,Konten bebas iklan dan aman untuk anak-anak,Contenuti senza pubblicità e sicuri per bambini,広告なしで子供に安全なコンテンツ,광고 없는 어린이 안전 콘텐츠,Bez reklāmām un drošs saturs bērniem,Be reklamų ir saugus turinys vaikams,Kandungan bebas iklan dan selamat untuk kanak-kanak,Annonsefri og barnesikker innhold,Zawartość bez reklam i bezpieczna dla dzieci,Conteúdo sem anúncios e seguro para crianças,Conținut fără reclame și sigur pentru copii,Садржај без реклама и безбедан за децу,无广告且儿童安全的内容,Obsah bez reklám a bezpečný pre deti,Brez oglasov in varna vsebina za otroke,Contenido sin anuncios y seguro para niños,Annonsfritt och barnsäkrat innehåll,Walang mga ad at ligtas para sa mga bata ang nilalaman,เนื้อหาปลอดโฆษณาและปลอดภัยสำหรับเด็ก,Reklamsız ve çocuklara güvenlİ İçerİk,Контент без реклами та безпечний для дітей,Nội dung không quảng cáo và an toàn cho trẻ em
