Key	Id	English(en)	Russian(ru)	Arabic(ar)	Bulgarian(bg)	Catalan(ca)	Croatian(hr)	Czech(cs)	Danish(da)	Dutch(nl)	Estonian(et)	Finnish(fi)	French(fr)	German(de)	Greek(el)	Hebrew(he)	Hindi(hi)	Hungarian(hu)	Indonesian(id)	Italian(it)	Japanese(ja)	Korean(ko)	Latvian(lv)	Lithuanian(lt)	Malay(ms)	Norwegian(no)	Polish(pl)	Portuguese(pt)	Romanian(ro)	Serbian(sr)	Chinese (Simplified)(zh-Hans)	Slovak(sk)	Slovenian(sl)	Spanish(es)	Swedish(sv)	Filipino (Philippines)(fil-PH)	Thai(th)	Turkİsh(tr)	Ukrainian(uk)	Vietnamese(vi)
app_title	1	Coloring	Раскраска	تلوين	Оцветяване	Coloració	Bojanka	Omalovánky	Farvelægning	Kleuren	Värvimine	Väritys	Coloriage	Färbung	Χρωματισμός	צביעה	रंग भरना	Színezés	Pewarnaan	Colorazione	ぬりえ	색칠하기	Krāsošana	Dažymas	Mewarna	Fargelegging	Kolorowanie	Colorir	Colorat	Бојење	上色	Maľovanie	Barvanje	Colorear	Färgning	Pagkukulay	ระบายสี	Renklendİrme	Розфарбовування	Tô màu
for_parents	2	For Parents	Для родителей	للآباء	За родители	Per a pares	Za roditelje	Pro rodiče	Forældre	Voor ouders	Vanematele	Vanhemmille	Pour les parents	Für Eltern	Για γονείς	להורים	माता-पिता के लिए	Szülőknek	Untuk Orang Tua	Per i genitori	保護者向け	부모님을 위한	Vecākiem	Tėvams	Untuk ibu bapa	For foreldre	Dla rodziców	Para os pais	Pentru părinți	За родитеље	家长专用	Pre rodičov	Za starše	Para padres	Föräldrar	Para sa mga magulang	สำหรับผู้ปกครอง	Ebeveynler İçİn	Для батьків	Dành cho cha mẹ
category_ocean	3	Sea	Море	بحر	Море	Mar	More	Moře	Hav	Zee	Meri	Meri	Mer	Meer	Θάλασσα	ים	समुद्र	Tenger	Laut	Mare	海	바다	Jūra	Jūra	Laut	Hav	Morze	Mar	Mare	Море	海	More	Morje	Mar	Hav	Dagat	ทะเล	Denİz	Море	Biển
category_dino	4	Dinosaurs	Динозавры	ديناصورات	Динозаври	Dinosaures	Dinosaurusi	Dinosauři	Dinosaurer	Dinosaurussen	Dinosaurused	Dinosaurukset	Dinosaures	Dinosaurier	Δεινόσαυροι	דינוזאורים	डायनासोर	Dínók	Dinosaurus	Dinosauri	恐竜	공룡	Dinozauri	Dinozaurai	Dinosaur	Dinosaurer	Dinozaury	Dinossauros	Dinozauri	Диносауруси	恐龙	Dinosaury	Dinozavri	Dinosaurios	Dinosaurier	Dinosauryo	ไดโนเสาร์	Dİnozorlar	Динозаври	Khủng long
category_fairytales	5	Magic	Магия	سحر	Магия	Màgia	Magija	Magie	Magi	Magie	Maagia	Taikuus	Magie	Magie	Μαγεία	קסם	जादू	Mágia	Sihir	Magia	魔法	마법	Burvība	Magija	Sihir	Magi	Magia	Magia	Magie	Магија	魔法	Mágia	Magična	Magia	Magi	Mahika	มายากล	Büyü	Магія	Phép thuật
category_jungle	6	Jungle	Джунгли	أدغال	Джунгли	Selva	Džungla	Džungle	Jungle	Jungle	Džungel	Viidakko	Jungle	Dschungel	Ζούγκλα	ג׳ונגל	जंगल	Dzsungel	Hutan	Giungla	ジャングル	정글	Džungļi	Džiunglės	Hutan	Jungel	Dżungla	Selva	Junglă	Џунгла	丛林	Džungľa	Džungla	Selva	Djungel	Gubat	ป่า	Orman	Джунглі	Rừng nhiệt đới
category_seasons	7	Seasons	Времена года	فصول السنة	Сезони	Estacions	Godišnja doba	Roční období	Årstider	Seizoenen	Aastaajad	Vuodenajat	Saisons	Jahreszeiten	Εποχές	עונות	मौसम	Évszakok	Musim	Stagioni	四季	계절	Sezonas	Metų laikai	Musim	Årstider	Pory roku	Estações do ano	Sezoane	Годишња доба	季节	Ročné obdobia	Letni časi	Estaciones	Årstider	Mga panahon	ฤดูกาล	Mevsİmler	Пори року	Mùa
category_pets	8	Pets	Домашние животные	الحيوانات الأليفة	Домашни любимци	Mascotes	Kućni ljubimci	Domácí zvířata	Kæledyr	Huisdieren	Lemmikloomad	Lemmikit	Animaux domestiques	Haustiere	Κατοικίδια	חיות מחמד	पालतू जानवर	Háziállatok	Hewan peliharaan	Animali domestici	ペット	애완동물	Mājdzīvnieki	Augintiniai	Haiwan peliharaan	Kjæledyr	Zwierzęta domowe	Animais de estimação	Animale de companie	Питомци	宠物	Domáce zvieratá	Hišni ljubljenčki	Mascotas	Husdjur	Alagang hayop	สัตว์เลี้ยง	Evcİl hayvanlar	Домашні тварини	Thú cưng
category_musical	9	Music	Музыка	موسيقى	Музика	Música	Glazba	Hudba	Musik	Muziek	Muusika	Musiikki	Musique	Musik	Μουσική	מוזיקה	संगीत	Zene	Musik	Musica	音楽	음악	Mūzika	Muzika	Muzik	Musikk	Muzyka	Música	Muzică	Музика	音乐	Hudba	Glasba	Música	Musik	Musika	ดนตรี	Müzİk	Музика	Âm nhạc
category_birthdayparty	10	Birthday	День рождения	عيد ميلاد	Рожден ден	Aniversari	Rođendan	Narozeniny	Fødselsdag	Verjaardag	Sünnipäev	Syntymäpäivä	Anniversaire	Geburtstag	Γενέθλια	יום הולדת	जन्मदिन	Születésnap	Ulang tahun	Compleanno	誕生日	생일	Dzimšanas diena	Gimtadienis	Hari jadi	Bursdag	Urodziny	Aniversário	Zi de naștere	Рођендан	生日	Narodeniny	Rojstni dan	Cumpleaños	Födelsedag	Kaarawan	วันเกิด	Doğum günü	День народження	Sinh nhật
