Key,Id,Kyrgyz(ky),English(en),Russian(ru),Arabic(ar),Bulgarian(bg),Catalan(ca),Croatian(hr),Czech(cs),Danish(da),Dutch(nl),Estonian(et),Finnish(fi),French(fr),German(de),Greek(el),Hebrew(he),Hindi(hi),Hungarian(hu),Indonesian(id),Italian(it),Japanese(ja),Korean(ko),Latvian(lv),Lithuanian(lt),Malay(ms),Norwegian(no),Polish(pl),Portuguese(pt),Romanian(ro),Serbian(sr),Chinese (Simplified)(zh-Hans),Slovak(sk),Slovenian(sl),Spanish(es),Swedish(sv),Filipino (Philippines)(fil-PH),Thai(th),Turkish(tr),Ukrainian(uk),Vietnamese(vi)
title1,,Мээни машыктыруу,Brain training,Тренировка мозга,تدريب الدماغ,Обучение на мозъка,Entrenament del cervell,Trening mozga,Trénink mozku,Hjernetræning,Hersentraining,Aju treenimine,Aivojen koulutus,Entraînement cérébral,Gehirntraining,Εκπαίδευση εγκεφάλου,אימון מוח,मस्तिष्क प्रशिक्षण,Agytréning,Pelatihan otak,Allenamento del cervello,脳トレ,두뇌 트레이닝,Smadzeņu treniņš,Smegenų lavinimas,Latihan otak,Hjernetrening,Trening mózgu,Treinamento cerebral,Antrenamentul creierului,Тренинг мозга,大脑训练,Tréning mozgu,Trening možganov,entrenamiento cerebral,Hjärnträning,Pagsasanay sa utak,การฝึกสมอง,Beyin eğitimi,Тренування мозку,Rèn luyện trí não
text1,,"Бүгүн токтоп, акылга сыйбаган бир нече көнүгүүлөрдү жасап көрүңүз.",Stop by today and try a couple of mind exercises.,Загляни сегодня и пройди пару заданий для ума.,توقف اليوم وحاول القيام ببعض التمارين العقلية.,Спрете днес и опитайте няколко упражнения за ума.,Passa avui mateix i prova un parell d'exercicis mentals.,Navratite danas i isprobajte nekoliko vježbi za um.,Zastavte se dnes a vyzkoušejte pár cvičení pro mysl.,Kig forbi i dag og prøv et par mentale øvelser.,Kom vandaag nog langs en probeer een paar denkoefeningen.,Astu täna läbi ja proovi paari mõtteharjutust.,Poikkea tänään ja kokeile pari mielenterveysharjoitusta.,Arrêtez-vous aujourd’hui et essayez quelques exercices mentaux.,Kommen Sie heute vorbei und probieren Sie ein paar Denkübungen aus.,Περάστε από εδώ σήμερα και δοκιμάστε μερικές ασκήσεις μυαλού.,בואו עוד היום ונסו כמה תרגילי חשיבה.,आज ही रुकें और कुछ मानसिक व्यायामों का प्रयास करें।,"Nézz be még ma, és próbálj ki pár agytornát.",Mampirlah hari ini dan cobalah beberapa latihan pikiran.,Venite a trovarci oggi stesso e provate un paio di esercizi mentali.,今日は立ち寄って、いくつかの心のエクササイズを試してみてください。,오늘 들러서 몇 가지 정신 운동을 시도해 보세요.,Ieskaties šodien un izmēģini pāris prāta vingrinājumus.,Užsuk šiandien ir išbandyk porą proto pratimų.,Singgah hari ini dan cuba beberapa latihan minda.,Stikk innom i dag og prøv et par mentale øvelser.,Wpadnij do nas już dziś i wypróbuj kilka ćwiczeń umysłowych.,Venha hoje mesmo e experimente alguns exercícios mentais.,Treci pe aici astăzi și încearcă câteva exerciții mentale.,Свратите данас и испробајте неколико вежби за ум.,今天就来尝试一下一些思维练习。,Zastavte sa ešte dnes a vyskúšajte zopár cvičení pre myseľ.,Obiščite nas še danes in poskusite nekaj vaj za um.,Ven hoy y prueba un par de ejercicios mentales.,Kom förbi idag och prova ett par hjärnövningar.,Huminto ngayon at subukan ang ilang mga pagsasanay sa isip.,แวะมาวันนี้และลองทำแบบฝึกหัดจิตใจสักสองสามข้อ,Bugün uğrayın ve birkaç zihin egzersizi deneyin.,Заглянь сьогодні та пройди пару завдань для розуму.,Hãy ghé qua hôm nay và thử một vài bài tập rèn luyện trí óc.
title2,,Пайдасы менен ойно,Play with benefit,Играй с пользой,العب بالفائدة,Играйте с полза,Juga amb benefici,Igrajte s dobrobiti,Hrajte s prospěchem,Spil med fordel,Speel met voordeel,Mängige kasuga,Pelaa edun kanssa,Jouez avec bénéfice,Spielen Sie mit Nutzen,Παίξτε με όφελος,לשחק עם תועלת,लाभ के साथ खेलें,Játssz haszonnal,Bermainlah dengan manfaat,Gioca con beneficio,メリットを活かして遊ぶ,유익하게 플레이하세요,Spēlējiet ar labumu,Žaisk su nauda,Bermain dengan faedah,Spill med fordel,Graj z korzyścią,Jogue com benefício,Joacă-te cu beneficii,Играјте са добром,发挥效益,Hrajte s prospechom,Igrajte s koristjo,Juega con beneficio,Spela med nytta,Maglaro nang may pakinabang,เล่นอย่างมีผลประโยชน์,Yararlı bir şekilde oynayın,Грай із користю,Chơi có lợi
text2,,Эс тутумуңузду жана көңүлүңүздү ойноо жолу менен өнүктүрүңүз.,Develop memory and attention in a playful way.,Развивай память и внимание в игровой форме.,تنمية الذاكرة والانتباه بطريقة مرحة.,Развивайте паметта и вниманието по игрив начин.,Desenvolupar la memòria i l'atenció d'una manera lúdica.,Razvijajte pamćenje i pažnju na razigran način.,Rozvíjejte paměť a pozornost hravou formou.,Udvikle hukommelse og opmærksomhed på en legende måde.,Ontwikkel op een speelse manier het geheugen en de aandacht.,Arendage mälu ja tähelepanu mängulisel viisil.,Kehitä muistia ja tarkkaavaisuutta leikin keinoin.,Développer la mémoire et l'attention de manière ludique.,Entwickeln Sie spielerisch Gedächtnis und Aufmerksamkeit.,Αναπτύξτε τη μνήμη και την προσοχή με παιχνιδιάρικο τρόπο.,לפתח זיכרון וקשב בצורה משחקית.,खेल-खेल में स्मृति और ध्यान विकसित करें।,Játékosan fejleszti a memóriát és a figyelmet.,Mengembangkan daya ingat dan perhatian dengan cara yang menyenangkan.,Sviluppa la memoria e l'attenzione in modo giocoso.,遊びながら記憶力と注意力を養います。,놀이를 통해 기억력과 주의력을 키우세요.,Attīstiet atmiņu un uzmanību rotaļīgā veidā.,Ugdykite atmintį ir dėmesį žaismingai.,Kembangkan ingatan dan perhatian dengan cara yang suka bermain.,Utvikle hukommelse og oppmerksomhet på en leken måte.,Rozwijaj pamięć i uwagę poprzez zabawę.,Desenvolva a memória e a atenção de forma lúdica.,Dezvoltați memoria și atenția într-un mod jucăuș.,Развијте памћење и пажњу на игрив начин.,以有趣的方式培养记忆力和注意力。,Rozvíjajte pamäť a pozornosť hravou formou.,Razvijajte spomin in pozornost na igriv način.,Desarrolla la memoria y la atención de forma lúdica.,Utveckla minne och uppmärksamhet på ett lekfullt sätt.,Bumuo ng memorya at atensyon sa isang mapaglarong paraan.,พัฒนาความจำและการใส่ใจในรูปแบบที่สนุกสนาน,Hafızayı ve dikkati oyun yoluyla geliştirin.,Розвивай пам'ять та увагу в ігровій формі.,Phát triển trí nhớ và sự chú ý theo cách vui tươi.
title3,,Күн сайын акылдуу бол,Smarter every day,Каждый день умнее,أكثر ذكاءً كل يوم,По-умни всеки ден,Cada dia més intel·ligent,Svaki dan pametniji,Každý den chytřejší,Smartere hver dag,Elke dag slimmer,Targem iga päevaga,Älykkäämpi joka päivä,Plus intelligent chaque jour,Jeden Tag intelligenter,Πιο έξυπνος κάθε μέρα,חכם יותר בכל יום,हर दिन होशियार,Minden nap okosabb,Lebih pintar setiap hari,Ogni giorno più intelligente,毎日をよりスマートに,매일 더 스마트하게,Ar katru dienu gudrāks,Protingesnis kiekvieną dieną,Lebih bijak setiap hari,Smartere hver dag,Mądrzejszy każdego dnia,Mais inteligente todos os dias,În fiecare zi mai inteligent,Сваким даном паметнији,每天更聪明,Každý deň múdrejší,Vsak dan pametnejši,Cada día más inteligente,Smartare för varje dag,Mas matalino araw-araw,ฉลาดขึ้นทุกวัน,Her gün daha akıllı,Щодня розумніший,Thông minh hơn mỗi ngày
text3,,Бул логикалык табышмакты чечиңиз - бул бир мүнөт гана талап кылынат.,Solve this logic puzzle - it will only take a minute.,Реши логическую задачку — это займёт всего минутку.,حل هذا اللغز المنطقي - لن يستغرق سوى دقيقة واحدة.,Решете тази логическа загадка - ще ви отнеме само минута.,Resol aquest trencaclosques de lògica: només et portarà un minut.,Riješite ovu logičku zagonetku - trebat će vam samo minuta.,Vyřešte tuto logickou hádanku - zabere vám to jen minutku.,Løs denne logiske gåde - det tager kun et minut.,Los deze logische puzzel op. Het kost maar een minuut.,Lahenda see loogikamõistatus – see võtab vaid minuti.,Ratkaise tämä logiikkapulma - se vie vain minuutin.,Résolvez ce casse-tête logique - cela ne vous prendra qu'une minute.,Lösen Sie dieses Logikrätsel – es dauert nur eine Minute.,Λύστε αυτό το λογικό παζλ - θα σας πάρει μόνο ένα λεπτό.,פתור את חידת ההיגיון הזו - זה ייקח רק דקה.,इस तर्क पहेली को हल करें - इसमें केवल एक मिनट लगेगा।,Oldd meg ezt a logikai feladványt - csak egy percet vesz igénybe.,Pecahkan teka-teki logika ini - hanya butuh waktu satu menit.,Risolvi questo enigma logico: ci vorrà solo un minuto.,この論理パズルを解いてください。わずか 1 分で完了します。,이 논리 퍼즐을 풀어보세요. 1분밖에 걸리지 않습니다.,Atrisiniet šo loģikas mīklu — tas aizņems tikai minūti.,Išspręskite šį loginį galvosūkį – tai užtruks tik minutę.,Selesaikan teka-teki logik ini - ia hanya akan mengambil masa seminit.,Løs denne logikkgåten – det tar bare et minutt.,Rozwiąż tę łamigłówkę logiczną - zajmie Ci to tylko chwilę.,Resolva este quebra-cabeça lógico. Leva apenas um minuto.,Rezolvă acest puzzle logic - va dura doar un minut.,Решите ову логичку загонетку - требаће вам само минут.,解决这个逻辑难题——只需一分钟。,Vyriešte túto logickú hádanku - zaberie vám to len minútku.,Rešite to logično uganko - trajalo bo le minuto.,Resuelve este rompecabezas de lógica: solo te llevará un minuto.,Lös detta logiska pussel – det tar bara en minut.,Lutasin ang logic puzzle na ito - tatagal lang ito ng isang minuto.,แก้ปริศนาตรรกะนี้ - ใช้เวลาเพียงนาทีเดียว,Bu mantık bulmacasını çözün - sadece bir dakikanızı alacak.,Розв'яжи логічне завдання - це займе всього хвилинку.,Hãy giải câu đố logic này - chỉ mất một phút.
title1,,Күндүн түстөрү,Colors of the day,Цвета дня,ألوان اليوم,Цветовете на деня,Colors del dia,Boje dana,Barvy dne,Dagens farver,Kleuren van de dag,Päeva värvid,Päivän värit,Couleurs du jour,Farben des Tages,Τα χρώματα της ημέρας,צבעי היום,दिन के रंग,A nap színei,Warna hari ini,I colori del giorno,今日の色,오늘의 색상,Dienas krāsas,Dienos spalvos,Warna hari ini,Dagens farger,Kolory dnia,Kolory dnia,Cores do dia,Боје дана,今日色彩,Farby dňa,Barve dneva,colores del dia,Dagens färger,Mga kulay ng araw,สีสันประจำวัน,Günün renkleri,Кольори дня,Màu sắc trong ngày
text1,,5 мүнөттүк чыгармачылык кубаныч жана жаңы идеяларды алып келет!,5 minutes of creativity will give you joy and new ideas!,5 минут творчества подарят радость и новые идеи!,5 دقائق من الإبداع ستمنحك السعادة والأفكار الجديدة!,5 минути творчество ще ви донесат радост и нови идеи!,5 minuts de creativitat et donaran alegria i noves idees!,5 minuta kreativnosti dat će vam radost i nove ideje!,5 minut kreativity vám dodá radost a nové nápady!,5 minutters kreativitet vil give dig glæde og nye ideer!,5 minuten creativiteit levert je vreugde en nieuwe ideeën op!,5 minutit loovust annab sulle rõõmu ja uusi ideid!,5 minuuttia luovuutta antaa sinulle iloa ja uusia ideoita!,5 minutes de créativité vous apporteront de la joie et de nouvelles idées !,5 Minuten Kreativität schenken Ihnen Freude und neue Ideen!,5 λεπτά δημιουργικότητας θα σας δώσουν χαρά και νέες ιδέες!,5 דקות של יצירתיות יעניקו לכם שמחה ורעיונות חדשים!,5 मिनट की रचनात्मकता आपको खुशी और नए विचार देगी!,5 perc alkotás örömet és új ötleteket ad!,5 menit kreativitas akan memberi Anda kegembiraan dan ide-ide baru!,5 minuti di creatività ti daranno gioia e nuove idee!,5 分間の創造力があなたに喜びと新しいアイデアをもたらします。,5분만 창의력을 발휘하면 기쁨과 새로운 아이디어가 찾아옵니다!,5 radošuma minūtes sniegs prieku un jaunas idejas!,5 minutės kūrybiškumo suteiks jums džiaugsmo ir naujų idėjų!,5 minit kreativiti akan memberi anda kegembiraan dan idea baharu!,5 minutter med kreativitet vil gi deg glede og nye ideer!,5 minut kreatywności da Ci radość i nowe pomysły!,5 minutos de criatividade lhe darão alegria e novas ideias!,5 minute de creativitate îți vor oferi bucurie și idei noi!,5 минута креативности ће вам дати радост и нове идеје!,5分钟的创意将给你带来快乐和新想法！,5 minút kreativity vám prinesie radosť a nové nápady!,5 minut ustvarjalnosti vam bo dalo veselje in nove ideje!,¡5 minutos de creatividad te darán alegría y nuevas ideas!,5 minuter av kreativitet ger dig glädje och nya idéer!,5 minuto ng pagkamalikhain ay magbibigay sa iyo ng kagalakan at mga bagong ideya!,5 นาทีแห่งความคิดสร้างสรรค์จะทำให้คุณมีความสุขและไอเดียใหม่ๆ!,5 dakikalık yaratıcılık size neşe ve yeni fikirler verecek!,5 хвилин творчості подарують радість та нові ідеї!,5 phút sáng tạo sẽ mang lại cho bạn niềm vui và những ý tưởng mới!
title2,,Эргүү ичинде,Inspiration within,Вдохновение внутри,الإلهام في الداخل,Вдъхновение отвътре,Inspiració per dins,Inspiracija iznutra,Inspirace uvnitř,Inspiration indeni,Inspiratie van binnen,Inspiratsioon sees,Inspiraatio sisällä,Inspiration intérieure,Inspiration im Inneren,Έμπνευση μέσα,השראה מבפנים,भीतर प्रेरणा,Inspiráció belül,Inspirasi di dalam,Ispirazione interiore,内なるインスピレーション,내면의 영감,Iedvesma iekšā,Įkvėpimas viduje,Inspirasi dalam,Inspirasjon innenfor,Inspiracja wewnątrz,Inspiração interior,Inspirație în interior,Инспирација унутра,内在的灵感,Inšpirácia vo vnútri,Navdih znotraj,Inspiración dentro,Inspiration inombords,Inspirasyon sa loob,แรงบันดาลใจภายใน,İçinizdeki ilham,Натхнення всередині,Натхнення всередині
text2,,Биз сиз үчүн жаңы чиймелерди даярдап койдук - тезирээк кириңиз!,We have prepared new drawings for you - come in quickly!,Мы приготовили новые рисунки для тебя — заходи скорее!,لقد قمنا بإعداد رسومات جديدة لك - تعال بسرعة!,Подготвили сме ви нови рисунки - заповядайте бързо!,Hem preparat nous dibuixos per a vosaltres: veniu ràpidament!,Pripremili smo vam nove crteže - dođite brzo!,Připravili jsme pro vás nové kresby - přijďte rychle!,Vi har forberedt nye tegninger til dig - kom hurtigt!,Wij hebben nieuwe tekeningen voor u klaargemaakt - kom snel langs!,Oleme teile uued joonistused ette valmistanud – tulge kiiresti kohale!,Olemme laatineet sinulle uusia piirroksia - tule pian!,Nous avons préparé de nouveaux dessins pour vous - venez vite !,Wir haben neue Zeichnungen für Sie vorbereitet – kommen Sie schnell vorbei!,Έχουμε ετοιμάσει νέα σχέδια για εσάς - ελάτε γρήγορα!,הכנו לכם רישומים חדשים - בואו מהרו!,हमने आपके लिए नए चित्र तैयार किए हैं - जल्दी आइए!,Új rajzokat készítettünk nektek - gyertek gyorsan!,Kami telah menyiapkan gambar baru untuk Anda - datanglah segera!,Abbiamo preparato nuovi disegni per voi: affrettatevi!,新しい図面を用意しましたので、お早めにお申し込みください。,여러분을 위해 새로운 도면을 준비했습니다. 서둘러 오세요!,Esam sagatavojuši jaunus zīmējumus – nāciet ātri!,Paruošėme jums naujų piešinių – paskubėkite!,Paruošėme jums naujų piešinių – paskubėkite!,Vi har forberedt nye tegninger til deg – kom innom raskt!,Przygotowaliśmy dla Ciebie nowe rysunki – zgłoś się szybko!,Preparamos novos desenhos para você - venha logo!,Am pregătit desene noi pentru tine - vino repede!,Припремили смо вам нове цртеже - пожурите!,我们为您准备了新的图纸——快来吧！,Pripravili sme pre vás nové kresby - príďte rýchlo!,Pripravili smo vam nove risbe - hitro pridite!,Hemos preparado nuevos dibujos para ti. ¡Entra pronto!,Vi har förberett nya ritningar åt er – kom in snabbt!,Naghanda kami ng mga bagong guhit para sa iyo - pumasok kaagad!,เราได้จัดเตรียมแบบร่างใหม่ไว้ให้คุณแล้ว - รีบเข้ามาเลย!,"Sizler için yeni çizimler hazırladık, hemen gelin!",Ми приготували нові малюнки для тебе – заходь швидше!,Chúng tôi đã chuẩn bị những bản vẽ mới cho bạn - hãy nhanh tay lên!
