Key,Id,Kyrgyz(ky),English(en),Russian(ru),Arabic(ar),Bulgarian(bg),Catalan(ca),Croatian(hr),Czech(cs),Danish(da),Dutch(nl),Estonian(et),Finnish(fi),French(fr),German(de),Greek(el),Hebrew(he),Hindi(hi),Hungarian(hu),Indonesian(id),Italian(it),Japanese(ja),Korean(ko),Latvian(lv),Lithuanian(lt),Malay(ms),Norwegian(no),Polish(pl),Portuguese(pt),Romanian(ro),Serbian(sr),Chinese (Simplified)(zh-Hans),Slovak(sk),Slovenian(sl),Spanish(es),Swedish(sv),Filipino (Philippines)(fil-PH),Thai(th),Turkish(tr),Ukrainian(uk),Vietnamese(vi)
app_title,,Бөбөк оюндары,Baby Games ,Мини-игры для малышей,العاب صغيرة,Мини игри,Minijocs,Mini igre,Mini hry,Mini spil,Minispellen,Mini mängud,Mini pelit,Mini-jeux,Minispiele,Μίνι Παιχνίδια,מיני משחקים,मिनी गेम्स,Mini játékok,Permainan Mini,Minigiochi,ミニゲーム,미니 게임,Mini spēles,Mini žaidimai,Permainan Mini,Minispill,Minigry,Minijogos,Mini Jocuri,Мини игре,小游戏,Mini hry,Mini igre,Minijuegos,Minispel,Mini Games,มินิเกม,Mini Oyunlar,Міні ігри,Trò chơi nhỏ
for_parents,,Ата-энелер үчүн,For Parents,Для родителей,للآباء,За родители,Per a pares,Za roditelje,Pro rodiče,Forældre,Voor ouders,Vanematele,Vanhemmille,Pour les parents,Für Eltern,Για γονείς,להורים,माता-पिता के लिए,Szülőknek,Untuk Orang Tua,Per i genitori,保護者向け,부모님을 위한,Vecākiem,Tėvams,Untuk ibu bapa,For foreldre,Dla rodziców,Para os pais,Pentru părinți,За родитеље,家长专用,Pre rodičov,Za starše,Para padres,Föräldrar,Para sa mga magulang,สำหรับผู้ปกครอง,Ebeveynler İçİn,Для батьків,Dành cho cha mẹ
category_animals_world,,Жаныбарлар дүйнөсү,Animals,Животный мир,الحيوانات,животни,animals,životinje,zvířata,dyr,dieren,loomad,eläimet,animaux,Tiere,ζώα,בַּעֲלֵי חַיִים,जानवरों,állatok,Hewan,animali,動物,동물들,dzīvnieki,gyvūnai,haiwan,dyr,zwierzęta,animais,animale,животиње,动物,zvieratá,živali,animales,djur,hayop,สัตว์โลก,hayvanlar,тварини,động vật
category_cooking,,Тамак жасоо,Cooking,Кулинария,طبخ,готвене,Cuinar,Kuhanje,Vaření,Madlavning,Koken,Toiduvalmistamine,Ruoanlaitto,Cuisson,Kochen,Μαγείρεμα,בישול,खाना बनाना,Főzés,Memasak,Cucina,料理,요리,Ēdienu gatavošana,Maisto gaminimas,Memasak,Matlaging,Gotowanie,Culinária,Gătitul,Кување,烹饪,Varenie,Kuhanje,Cocinando,Matlagning,Pagluluto,การทำอาหาร,Yemek pişirmek,Кулінарія,nấu ăn
category_videos,,Видео,Video,Видео,فيديو,видео,Vídeo,Video,Video,Video,Video,Video,Video,Vidéo,Video,Βίντεο,וִידֵאוֹ,वीडियो,Videó,Video,Video,ビデオ,동영상,Video,Vaizdo įrašas,Video,Video,Wideo,Vídeo,Video,Видео,视频,Video,Video,Video,Video,Video,วีดีโอ,Video,відео,Băng hình
category_coloring,,Боёо,Coloring,Раскраска,تلوين,Оцветяване,Coloració,Bojanje,Raskraska,Farvelægning,Kleuren,Värvimine,Väritys,Coloration,Färbung,Χρωστικός,גִוּוּן,रंग,Színezés,Warna,Colorazione,着色,착색,Krāsošana,Spalvinimas,Mewarna,Fargelegging,Kolorowanie,Coloração,Colorare,Бојење,染色,Vyfarbovanie,Barvanje,Colorante,Färg,Pangkulay,ระบายสี,Boyama,Розфарбовування,Tô màu
category_games,,Оюндар,Games,Игры,ألعاب,игри,Jocs,Igre,Hry,Spil,Spellen,Mängud,Pelit,Jeux,Spiele,Παιχνίδια,משחקים,खेल,Játékok,Pertandingan,Giochi,ゲーム,계략,Spēles,Žaidimai,Permainan,Spill,Zawody sportowe,Jogos,Jocuri,Игре,游戏,Hry,igre,Juegos,Spel,Mga laro,เกมส์,Oyunlar,Ігри,Trò chơi
check_if_parent,,"Сураныч, эсептеп көрүңүз",Please calculate,вычислите решение,يرجى الحساب,"Моля, изчислете","Si us plau, calcula",Molimo izračunajte,"Prosím, vypočítejte",Venligst beregn,Gelieve te berekenen,Palun arvutage,"Laske, ole hyvä",Veuillez calculer,Bitte berechnen,"Παρακαλώ, υπολογίστε",בבקשה חישוב,कृपया गणना करें,"Kérjük, számítsd ki",Silakan hitung,"Per favore, calcola",計算してください,계산해 주세요,"Lūdzu, aprēķiniet",Prašome apskaičiuoti,Sila kira,Vennligst beregn,"Proszę, oblicz","Por favor, calcule","Te rog, calculează","Молим, израчунајте",请计算,"Prosím, vypočítajte","Prosim, izračunaj","Por favor, calcula",Vänligen beräkna,"Pakiusap, Kalkulahin",กรุณาคำนวณ,Lütfen hesaplayın,"Будь ласка, обчисліть",Vui lòng tính toán
category_free,,Акысыз,Free,Бесплатно,مجاني,Безплатно,Gratis,Besplatno,Zdarma,Gratis,Gratis,Tasuta,Ilmainen,Gratuit,Frei,Δωρεάν,חופשי,नि: शुल्क,Ingyenes,Gratis,Gratis,無料,무료,Bezmaksas,Nemokama,Percuma,Gratis,Darmowe,Grátis,Gratuit,Бесплатно,免费,Zadarmo,Brezplačno,Gratis,Gratis,Libre,ฟรี,Ücretsİz,Безкоштовно,Miễn phí
car_assembly,,Унаа кураштыруу,car tuning,сборка машины,تجميع السيارة,сглобяване на автомобили,muntatge de cotxes,montaža automobila,montáž auta,bil montage,auto montage,auto kokkupanek,auton kokoonpano,assemblage de voiture,Automontage,συναρμολόγηση αυτοκινήτου,הרכבת רכב,कार संयोजन,autó összeszerelés,perakitan mobil,assemblaggio auto,自動車の組み立て,자동차 조립,auto montāža,automobilių surinkimas,pemasangan kereta,bilmontering,montaż samochodu,montagem de carro,montaj auto,склапање аутомобила,汽车装配,montáž auta,montaža avtomobila,montaje de auto,bilmontering,pagpupulong ng sasakyan,ประกอบรถยนต์,araba montajı,збірка автомобіля,lắp ráp ô tô
